daily date,Date,DNFTSE,DPredicted,daily predicted price
2020-10-28,2020-10-28,0.1696483017,0.08046418164933333,0.0804556378818181
2020-10-29,2020-10-29,0.03565289158,0.08047592932966666,0.080471657445909
2020-10-30,2020-10-30,-0.01837754727,0.08048767701,0.08048767701
2020-10-31,,-0.006593331799999999,0.08056579547774192,0.08052611625603173
2020-11-01,,0.00519088367,0.08064391394548387,0.08056455550206346
2020-11-02,2020-11-02,0.01697509914,0.0807220324132258,0.0806029947480952
2020-11-03,2020-11-03,-0.1558282218,0.08080015088096773,0.0807183124861904
2020-11-04,2020-11-04,-0.1524238132,0.08087826934870967,0.0808336302242857
2020-11-05,2020-11-05,-0.06629745899,0.0809563878164516,0.0809489479623809
2020-11-06,2020-11-06,0.005357469211,0.08103450628419354,0.0810642657004761
2020-11-07,,-0.15208999015933333,0.08111262475193548,0.08110270494650787
2020-11-08,,-0.30953744952966666,0.08119074321967741,0.08114114419253964
2020-11-09,2020-11-09,-0.4669849089,0.08126886168741936,0.0811795834385714
2020-11-10,2020-11-10,-0.0890808841,0.08134698015516129,0.0812949011766666
2020-11-11,2020-11-11,-0.1561783449,0.08142509862290322,0.0814102189147619
2020-11-12,2020-11-12,0.01902791547,0.08150321709064516,0.0815255366528571
2020-11-13,2020-11-13,0.01612326349,0.08158133555838709,0.0816408543909523
2020-11-14,,-0.04568388390666667,0.08165945402612902,0.08167929363698406
2020-11-15,,-0.10749103130333335,0.08173757249387097,0.08171773288301583
2020-11-16,2020-11-16,-0.1692981787,0.0818156909616129,0.0817561721290476
2020-11-17,2020-11-17,0.04601770697,0.08189380942935483,0.0818714898671428
2020-11-18,2020-11-18,-0.09198553608,0.08197192789709677,0.081986807605238
2020-11-19,2020-11-19,0.09684227067,0.0820500463648387,0.0821021253433333
2020-11-20,2020-11-20,-0.0002503673089,0.08212816483258063,0.0822174430814285
2020-11-21,,-0.01275210679926667,0.08220628330032258,0.08225588232746027
2020-11-22,,-0.025253846289633338,0.08228440176806451,0.08229432157349204
2020-11-23,2020-11-23,-0.03775558578,0.08236252023580645,0.0823327608195238
2020-11-24,2020-11-24,-0.1037518216,0.08244063870354838,0.082448078557619
2020-11-25,2020-11-25,0.1102613716,0.08251875717129031,0.0825633962957142
2020-11-26,2020-11-26,0.08667696673,0.08259687563903226,0.0826787140338095
2020-11-27,2020-11-27,-0.03324799622,0.08267499410677419,0.0827940317719047
2020-11-28,,-0.001067973050000004,0.08275311257451612,0.08283247101793646
2020-11-29,,0.03111205011999999,0.08283123104225806,0.08287091026396823
2020-11-30,2020-11-30,0.06329207329,0.08290934951,0.08290934951
2020-12-01,2020-12-01,-0.2546235531,0.08091489634258064,0.0799651567390476
2020-12-02,2020-12-02,-0.01652424239,0.07892044317516128,0.0770209639680952
2020-12-03,2020-12-03,-0.1274868381,0.07692599000774193,0.0740767711971428
2020-12-04,2020-12-04,-0.02518636447,0.07493153684032258,0.0711325784261904
2020-12-05,,0.025437709786666672,0.07293708367290322,0.07015118083587293
2020-12-06,,0.07606178404333334,0.07094263050548387,0.06916978324555548
2020-12-07,2020-12-07,0.1266858583,0.0689481773380645,0.068188385655238
2020-12-08,2020-12-08,0.02964309817,0.06695372417064516,0.0652441928842857
2020-12-09,2020-12-09,-0.006710039477,0.0649592710032258,0.0623000001133333
2020-12-10,2020-12-10,0.06399427535,0.06296481783580644,0.0593558073423809
2020-12-11,2020-12-11,0.06704856092,0.060970364668387095,0.0564116145714285
2020-12-12,,0.02103085394666667,0.05897591150096774,0.05543021698111104
2020-12-13,,-0.02498685302666666,0.05698145833354838,0.05444881939079357
2020-12-14,2020-12-14,-0.07100456,0.05498700516612903,0.0534674218004761
2020-12-15,2020-12-15,-0.04426513581,0.052992551998709676,0.0505232290295238
2020-12-16,2020-12-16,-0.1222790025,0.05099809883129032,0.0475790362585714
2020-12-17,2020-12-17,-0.09984667838,0.049003645663870964,0.044634843487619
2020-12-18,2020-12-18,0.08998161961,0.04700919249645161,0.0416906507166666
2020-12-19,,0.13079181694,0.04501473932903226,0.04070925312634913
2020-12-20,,0.17160201427,0.0430202861616129,0.03972785553603166
2020-12-21,2020-12-21,0.2124122116,0.041025832994193545,0.0387464579457142
2020-12-22,2020-12-22,-0.1294897766,0.039031379826774196,0.0358022651747619
2020-12-23,2020-12-23,-0.1738057682,0.03703692665935484,0.0328580724038095
2020-12-24,2020-12-24,-0.124632064,0.03504247349193548,0.0299138796328571
2020-12-25,,-0.1348472458,0.03304802032451613,0.02932504107866662
2020-12-26,,-0.1450624276,0.03105356715709677,0.028736202524476142
2020-12-27,,-0.1552776094,0.02905911398967742,0.02814736397028566
2020-12-28,,-0.1654927912,0.027064660822258065,0.02755852541609518
2020-12-29,2020-12-29,-0.175707973,0.025070207654838708,0.0269696868619047
2020-12-30,2020-12-30,0.09138406774,0.02307575448741936,0.0240254940909523
2020-12-31,2020-12-31,0.1135660245,0.02108130132,0.02108130132
2021-01-01,,0.078965458015,0.0221151470434375,0.021475147309880947
2021-01-02,,0.044364891530000006,0.023148992766874998,0.0218689932997619
2021-01-03,,0.009764325045000008,0.024182838490312497,0.02226283928964285
2021-01-04,2021-01-04,-0.02483624144,0.02521668421375,0.0226566852795238
2021-01-05,2021-01-05,-0.08988186389,0.026250529937187496,0.0242320692390476
2021-01-06,2021-01-06,-0.1280873284,0.027284375660625,0.0258074531985714
2021-01-07,2021-01-07,-0.01837754727,0.028318221384062498,0.0273828371580952
2021-01-08,2021-01-08,-0.02718930295,0.029352067107499998,0.028958221117619
2021-01-09,,0.0299609473,0.030385912830937497,0.029483349104126935
2021-01-10,,0.08711119754999999,0.031419758554374996,0.030008477090634866
2021-01-11,2021-01-11,0.1442614478,0.0324536042778125,0.0305336050771428
2021-01-12,2021-01-12,0.03159615878,0.033487450001249995,0.0321089890366666
2021-01-13,2021-01-13,0.04842064634,0.0345212957246875,0.0336843729961904
2021-01-14,2021-01-14,-0.07986717153,0.035555141448124994,0.0352597569557142
2021-01-15,2021-01-15,0.08021827256,0.0365889871715625,0.036835140915238
2021-01-16,,0.04952284929333334,0.037622832895,0.037360268901745965
2021-01-17,,0.01882742602666667,0.038656678618437496,0.03788539688825394
2021-01-18,2021-01-18,-0.01186799724,0.03969052434187499,0.0384105248747619
2021-01-19,2021-01-19,0.01822693569,0.040724370065312494,0.0399859088342857
2021-01-20,2021-01-20,-0.1395044689,0.04175821578875,0.0415612927938095
2021-01-21,2021-01-21,0.04396489064,0.04279206151218749,0.0431366767533333
